1080861.50000|1|1|0|0|0|0|0|0
1080861.50000|1|1|0|0|0|0|0|0
1080875.45833|1|0|0|0|0|0|0|0
1080876.70833|0|0|0|0|0|0|0|0
1080877.54167|0|1|0|0|0|0|0|0
1080878.12500|1|1|0|0|0|0|0|0
1080879.20833|0|1|0|0|0|0|0|0
1080879.54167|0|0|0|0|0|0|0|0
1080880.62500|1|0|0|0|0|0|0|0
1080881.70833|0|0|0|0|0|0|0|0
1080883.12500|1|0|0|0|0|0|0|0
1080884.20833|0|0|0|0|0|0|0|0
1080885.62500|1|0|0|0|0|0|0|0
1080886.70833|0|0|0|0|0|0|0|0
1080888.12500|1|0|0|0|0|0|0|0
1080889.25000|0|0|0|0|0|0|0|0
1080890.62500|1|0|0|0|0|0|0|0
1080891.75000|0|0|0|0|0|0|0|0
1080893.12500|1|0|0|0|0|0|0|0
1080894.25000|0|0|0|0|0|0|0|0
1080895.62500|1|0|0|0|0|0|0|0
1080896.75000|0|0|0|0|0|0|0|0
1080898.12500|1|0|0|0|0|0|0|0
1080899.25000|0|0|0|0|0|0|0|0 
1080900.04167|0|1|0|0|0|0|0|0 
1080903.29167|0|0|0|0|0|0|0|0
1080904.41667|1|0|0|0|0|0|0|0
1080905.50000|0|0|0|0|0|0|0|0
1080906.91667|1|0|0|0|0|0|0|0
1080908.00000|0|0|0|0|0|0|0|0
1080909.41667|1|0|0|0|0|0|0|0
1080910.50000|0|0|0|0|0|0|0|0
1080911.91667|1|0|0|0|0|0|0|0
1080913.00000|0|0|0|0|0|0|0|0
1080914.41667|1|0|0|0|0|0|0|0
1080915.50000|0|0|0|0|0|0|0|0
1080916.91667|1|0|0|0|0|0|0|0 
1080918.00000|0|0|0|0|0|0|0|0
1080919.41667|1|0|0|0|0|0|0|0 
1080920.50000|0|0|0|0|0|0|0|0 
1080921.91667|1|0|0|0|0|0|0|0 
1080923.00000|0|0|0|0|0|0|0|0
1080924.37500|1|0|0|0|0|0|0|0
1080925.50000|0|0|0|0|0|0|0|0
1080926.91667|1|0|0|0|0|0|0|0
1080928.00000|0|0|0|0|0|0|0|0
1080929.41667|1|0|0|0|0|0|0|0
1080930.50000|0|0|0|0|0|0|0|0
1080931.91667|1|0|0|0|0|0|0|0
1080933.00000|0|0|0|0|0|0|0|0
1080933.87500|0|1|0|0|0|0|0|0
1080934.37500|1|1|0|0|0|0|0|0
1080935.50000|0|1|0|0|0|0|0|0
1080936.87500|1|1|0|0|0|0|0|0
1080938.00000|0|1|0|0|0|0|0|0
1080939.37500|1|1|0|0|0|0|0|0
1080940.50000|0|1|0|0|0|0|0|0
1080941.87500|1|1|0|0|0|0|0|0
1080943.00000|0|1|0|0|0|0|0|0
1080944.37500|1|1|0|0|0|0|0|0
1080945.50000|0|1|0|0|0|0|0|0
1080945.75000|0|0|0|0|0|0|0|0
1080946.87500|1|0|0|0|0|0|0|0
1080948.00000|0|0|0|0|0|0|0|0
1080948.70833|0|1|0|0|0|0|0|0
1080953.25000|1|1|0|0|0|0|0|0
1080954.91667|1|0|0|0|0|0|0|0
1080956.16667|0|0|0|0|0|0|0|0
1080956.91667|0|1|0|0|0|0|0|0
1080957.54167|1|1|0|0|0|0|0|0
1080958.66667|0|1|0|0|0|0|0|0
1080958.95833|0|0|0|0|0|0|0|0
1080960.04167|1|0|0|0|0|0|0|0
1080961.16667|0|0|0|0|0|0|0|0
1080962.54167|1|0|0|0|0|0|0|0
1080963.66667|0|0|0|0|0|0|0|0
1080965.08333|1|0|0|0|0|0|0|0
1080966.16667|0|0|0|0|0|0|0|0
1080967.58333|1|0|0|0|0|0|0|0
1080968.66667|0|0|0|0|0|0|0|0
1080970.08333|1|0|0|0|0|0|0|0
1080971.16667|0|0|0|0|0|0|0|0
1080972.58333|1|0|0|0|0|0|0|0
1080973.66667|0|0|0|0|0|0|0|0
1080974.45833|0|1|0|0|0|0|0|0
1080975.04167|1|1|0|0|0|0|0|0
1080976.16667|0|1|0|0|0|0|0|0
1080976.41667|0|0|0|0|0|0|0|0
1080977.54167|1|0|0|0|0|0|0|0
1080978.66667|0|0|0|0|0|0|0|0
1080983.29167|1|0|0|0|0|0|0|0
1080984.41667|0|0|0|0|0|0|0|0
1080985.79167|1|0|0|0|0|0|0|0
1080986.91667|0|0|0|0|0|0|0|0
1080988.29167|1|0|0|0|0|0|0|0
1080989.41667|0|0|0|0|0|0|0|0
1080990.83333|1|0|0|0|0|0|0|0
1080991.91667|0|0|0|0|0|0|0|0
1080993.33333|1|0|0|0|0|0|0|0
1080994.41667|0|0|0|0|0|0|0|0
1080995.79167|1|0|0|0|0|0|0|0
1080996.91667|0|0|0|0|0|0|0|0
1080998.33333|1|0|0|0|0|0|0|0
1080999.41667|0|0|0|0|0|0|0|0
1081000.83333|1|0|0|0|0|0|0|0
1081001.91667|0|0|0|0|0|0|0|0
1081003.33333|1|0|0|0|0|0|0|0
1081004.41667|0|0|0|0|0|0|0|0
1081009.33333|1|0|0|0|0|0|0|0
1081010.45833|0|0|0|0|0|0|0|0
1081011.83333|1|0|0|0|0|0|0|0
1081012.95833|0|0|0|0|0|0|0|0
1081014.33333|1|0|0|0|0|0|0|0
1081015.45833|0|0|0|0|0|0|0|0
1081016.83333|1|0|0|0|0|0|0|0
1081017.95833|0|0|0|0|0|0|0|0
1081019.33333|1|0|0|0|0|0|0|0
1081020.45833|0|0|0|0|0|0|0|0
1081021.83333|1|0|0|0|0|0|0|0
1081022.95833|0|0|0|0|0|0|0|0
1081024.33333|1|0|0|0|0|0|0|0
1081025.45833|0|0|0|0|0|0|0|0
1081026.83333|1|0|0|0|0|0|0|0
1081027.95833|0|0|0|0|0|0|0|0
1081028.66667|0|1|0|0|0|0|0|0
